review,target,cleaned_review
"Worst experience at Dhaka airport. Delayed flight, no food provided. Extremely rude and aggressive staff. Not worth any offer lr discount flight.",1,worst experience dhaka airport delayed flight food provided extremely rude aggressive staff worth offer lr discount flight
"Good value for money. Somethimes you might consider the overall service based on the money you pay. Also, the staff was friendly.",2,good value money somethimes might consider overall service based money pay also staff friendly
"Very good airlines ever i see. Good service food quality and served. I naver used Biman Bangladesh and it was first time I tried and what can I say about biman, best airline in the world.",2,good airline ever see good service food quality served naver used biman bangladesh first time tried say biman best airline world
"I naver used Biman Bangladesh and it was first time I tried and what can I say about biman, best airline in the world, I had sooo many bad feedback about biman and I think biman changed everything to do well and give fantastic service. I would definitely recommend people to use biman . I would say to Sylheti people please use biman Bangladesh so we get amazing service all the time.",2,naver used biman bangladesh first time tried say biman best airline world sooo many bad feedback biman think biman changed everything well give fantastic service would definitely recommend people use biman would say sylheti people please use biman bangladesh get amazing service time
I have travelled from London to Dhaka direct flight due to COVID and it was my first time I have experienced Bangladesh biman and definitely my last time . While sending my luggage the staffs on the gate harassed me I felt because I had enough allowance and I only had a small bag hand where I hardy had anything so they could allow 2 kilo more in my luggage rather than asking for extra money (staffs are irrelevant ) and then making me open my luggage thousand times . Also the gate flight supervisor a lady at London Heathrow airport terminal 2 was very rude she didnâ€™t even listen what I was gonna say instead she said just to save your time u have pay extra this and that like she didnâ€™t even try to listen what I was trying to say . Very disappointing she had no manner how to behave and talk to passengers and she is a supervisor like what ... the cabin crew were well behaved but you can hardly find cabin crew during quiet time as they are always in their station but they were well behaved. Just didnâ€™t like the gate staffs specially the lady supervisor of that wasnâ€™t uk I would have slapped her for that behaviour like we pay for service and want to get that service we do not travel for free or with their fathers money . Also the food during the flight came very late for awhile I wanted to jump out of the plane because I was starving ... they need to give food on time . More Improvement needed and staffs need more training and definitely should not hire staffs who doesnâ€™t know how to behave with passengers . I felt it because I am a tourism and hospitality employee at a fairmont hotel in London and I have trained air hostesses at from Saudi airlines do I know how passengers should be treated . Pleas give more training to customer service staffs at the airport thanks . For me ... never travelling from bd biman worst behaved at the luggage desk ... staffs are always gossiping ... poor service at the luggage desk... also the cabin crews are not very attentive they forgot to give me my food and they did not re check if all passengers got food I had to call someone to give me food ...,1,travelled london dhaka direct flight due covid first time experienced bangladesh biman definitely last time sending luggage staff gate harassed felt enough allowance small bag hand hardy anything could allow kilo luggage rather asking extra money staff irrelevant making open luggage thousand time also gate flight supervisor lady london heathrow airport terminal rude didnt even listen gon na say instead said save time u pay extra like didnt even try listen trying say disappointing manner behave talk passenger supervisor like cabin crew well behaved hardly find cabin crew quiet time always station well behaved didnt like gate staff specially lady supervisor wasnt uk would slapped behaviour like pay service want get service travel free father money also food flight came late awhile wanted jump plane starving need give food time improvement needed staff need training definitely hire staff doesnt know behave passenger felt tourism hospitality employee fairmont hotel london trained air hostess saudi airline know passenger treated plea give training customer service staff airport thanks never travelling bd biman worst behaved luggage desk staff always gossiping poor service luggage desk also cabin crew attentive forgot give food check passenger got food call someone give food
Do not fly with this stupid airlines itâ€™s too dirty inside and the sit service I will never fly agen,1,fly stupid airline dirty inside sit service never fly agen
From the minute I stepped into the airport the staff assisted with my baggage and security scanning until I was handed my boarding pass to board the plane. Highly recommended.,2,minute stepped airport staff assisted baggage security scanning handed boarding pas board plane highly recommended
"The worst airlines, run by irresponsible, and stupid people. They have no sense of time and service. If you ask any assistance, whether they don't know they answer, they will give you even terrible suggestions which will make your life real hell and finally you will realize their suggestion was unnecessary. I had no other option that's why I needed to fly with them and I wish I never again fall in such situation. Their behave is such rude and inappropriate to let you think they are actually inhuman and monsters.",1,worst airline run irresponsible stupid people sense time service ask assistance whether dont know answer give even terrible suggestion make life real hell finally realize suggestion unnecessary option thats needed fly wish never fall situation behave rude inappropriate let think actually inhuman monster
"Flights that I find comfortable, strange, panic, and angry. The circumstances are mixed together. The plane is ready for boarding but there are still many passengers making phone or video calls, even though flight attendants have banned cellphones. And this might disrupt the aircraft's navigation system.",0,flight find comfortable strange panic angry circumstance mixed together plane ready boarding still many passenger making phone video call even though flight attendant banned cellphone might disrupt aircraft navigation system
Had travelled from Dhaka to Chittagong in US Bangla airlines. Initially I had some fear as only recently they had a crash in Nepal. What I observed is that their check in and boarding process was very fast and on time. Aircraft was clean and efficient staff.,2,travelled dhaka chittagong u bangla airline initially fear recently crash nepal observed check boarding process fast time aircraft clean efficient staff
"I heard about this airline so I called them. Twice they hung up on me. I guess you're only allowed to ask one question. Well they just saved me from flying with an unprofessional company. So thanks. I will never fly this airline. I did not fly with them. However, they would not allow me to write a review without stating a flight.Just plan rude.",1,heard airline called twice hung guess youre allowed ask one question well saved flying unprofessional company thanks never fly airline fly however would allow write review without stating flightjust plan rude
Flight size and type is better than any other domestic airlines of Bangladesh. Service is good. I will say professional. They don't have flight in all the domestic routes. But they seem to be the best in Bangladesh.Food may be improved.,2,flight size type better domestic airline bangladesh service good say professional dont flight domestic route seem best bangladeshfood may improved
"I did not know about this airline till the travel date and the ticket was arranged by my office. But I was pleasantly surprised by their services, the speed at which boarding was completed, luggages delivered or punctuality. The flight was actually coming from Muscat to Dhaka via Chattogram.Will surely recommend. Cheap fair and a Boeing 737. It was a good deal as well.",2,know airline till travel date ticket arranged office pleasantly surprised service speed boarding completed luggage delivered punctuality flight actually coming muscat dhaka via chattogramwill surely recommend cheap fair boeing good deal well
"PROS: good flight schedule, comprehensive online booking interface, serve a snack on the flight no matter how short.CONS: Flights often leave 20+ min late, plane interiors are FILTHY.",0,pro good flight schedule comprehensive online booking interface serve snack flight matter shortcons flight often leave min late plane interior filthy
"It ia an average airline to fly,recently they are not maintaining time.In flight entertainment is poor.Check in service is good",0,ia average airline flyrecently maintaining timein flight entertainment poorcheck service good
In this pandemic situation just eleventh hour you guys notifying that flight will be delayed 1 hour. BAS*****!!Â Toder mamar bari ai desh ta. Kuttar bacchar dhol.,1,pandemic situation eleventh hour guy notifying flight delayed hour ba toder mamar bari ai desh ta kuttar bacchar dhol
"This is my latest experience since Novoair change their logo pattern and inclusion of new aircrafts. Although I was not very pleased with my previous experience but this time it was like wind of change despite COVID situation. The flight was clean, new booking system was close to perfect and the cabin crew was very cordial and professional so was the expert pilot. It was really a comfortable flight experience.",2,latest experience since novoair change logo pattern inclusion new aircraft although pleased previous experience time like wind change despite covid situation flight clean new booking system close perfect cabin crew cordial professional expert pilot really comfortable flight experience
"Tried to pay online several times for a booking. Their online Card payment gateway seems to be broken; it goes blank right after submitting the OTP. I've tried from Chrome, Edge and Explorer browsers, so it can't be a browser issue. And to get help, I've called their helpline innumerable times and tried connecting to an operator; but every-time they disconnect after keeping the line engaged for a while. So on top of poor payment gateway, their customer service brings full circle to a terrible experience. I deduce they are flush with business, otherwise who would jeopardize the future of their business with such pathetic service.",1,tried pay online several time booking online card payment gateway seems broken go blank right submitting otp ive tried chrome edge explorer browser cant browser issue get help ive called helpline innumerable time tried connecting operator everytime disconnect keeping line engaged top poor payment gateway customer service brings full circle terrible experience deduce flush business otherwise would jeopardize future business pathetic service
It was really a great experience for me to visit by NOVOAIR. I really enjoyed and it was excellent :D,2,really great experience visit novoair really enjoyed excellent
It was one of longest domestic return flight from dhaka. One of the safest track record in the airline business in Bangladesh. Took the last flight both way. Takes about 45 minutes to reach. Neat and clean. Well trained and professional cabin crew. Serves refreshment on the flight.,2,one longest domestic return flight dhaka one safest track record airline business bangladesh took last flight way take minute reach neat clean well trained professional cabin crew serf refreshment flight
We had a 6 hour delay as well as terrible food experience my parents were suffering problems and almost divorced I had suffered ptsd and this will be my last flight with them in my life!,1,hour delay well terrible food experience parent suffering problem almost divorced suffered ptsd last flight life
Worst flight I have ever taken in my life my mother and father almost divorced and were suffering ptsd problems because of this,1,worst flight ever taken life mother father almost divorced suffering ptsd problem
I have booked a ticket through biman website but unfortunately i do have to change my dates but the website was not letting me change the flying date then I decided to book a new ticket and refund the current one I cancel my ticket and requested for my refund they gave me an email saying i will receive my refund with in 15 days but now its more than a month i havnt receive my refund there refund policy is completely useless specialy there online sector they have to develop their online services i am facing a big hassle for my online ticket i will recommend not to try their online services i would like advise biman bangladesh management team to kindly give attention to their online services and give their coustomer a quality service I have fly with biman many times never had a proman before,1,booked ticket biman website unfortunately change date website letting change flying date decided book new ticket refund current one cancel ticket requested refund gave email saying receive refund day month havnt receive refund refund policy completely useless specialy online sector develop online service facing big hassle online ticket recommend try online service would like advise biman bangladesh management team kindly give attention online service give coustomer quality service fly biman many time never proman
"When me and my husband went to airport for Biman to travel to Kualalumpur from Dhaka, we heard that the plane has left , we were there before 2 hours of the flying time. So we wanted to talk to somebody about what to do, but nobody was there, so I called a friend who was an employee of Biman ( Lawyer) , as she heard my problem, she started misbehaving and shouting with ill manner. We were just confused about what to do, then my husband talked to a man in the airport and that man managed the Malaysian airline to take us to KL.. Again, on the Biman after a year while travelling from KL to Dhaka our suitcase was cut and important and expensive things were stolen. Everytime the AC in the flight does not work, the cabin crew behave strange, the food is below quality. Not only the flight, the airport is also filthy with strange smell and unwanted people, the floor of the Dhaka airport is like a bus station of old days.",1,husband went airport biman travel kualalumpur dhaka heard plane left hour flying time wanted talk somebody nobody called friend employee biman lawyer heard problem started misbehaving shouting ill manner confused husband talked man airport man managed malaysian airline take u kl biman year travelling kl dhaka suitcase cut important expensive thing stolen everytime ac flight work cabin crew behave strange food quality flight airport also filthy strange smell unwanted people floor dhaka airport like bus station old day
Brilliant flight FROM lhr to dac by Boeing 787-9 food are delicious and even spicy toilet look even clean and powerful internet so fly BIMAN BANGLADESH at London to dhaka on BG202,2,brilliant flight lhr dac boeing food delicious even spicy toilet look even clean powerful internet fly biman bangladesh london dhaka bg
