review,sentiment
"Worst experience at Dhaka airport. Delayed flight, no food provided. Extremely rude and aggressive staff. Not worth any offer lr discount flight.",Negative
"Good value for money. Somethimes you might consider the overall service based on the money you pay. Also, the staff was friendly.",Positive
"Very good airlines ever i see. Good service food quality and served. I naver used Biman Bangladesh and it was first time I tried and what can I say about biman, best airline in the world.",Positive
"I naver used Biman Bangladesh and it was first time I tried and what can I say about biman, best airline in the world, I had sooo many bad feedback about biman and I think biman changed everything to do well and give fantastic service. I would definitely recommend people to use biman . I would say to Sylheti people please use biman Bangladesh so we get amazing service all the time.",Positive
I have travelled from London to Dhaka direct flight due to COVID and it was my first time I have experienced Bangladesh biman and definitely my last time . While sending my luggage the staffs on the gate harassed me I felt because I had enough allowance and I only had a small bag hand where I hardy had anything so they could allow 2 kilo more in my luggage rather than asking for extra money (staffs are irrelevant ) and then making me open my luggage thousand times . Also the gate flight supervisor a lady at London Heathrow airport terminal 2 was very rude she didnâ€™t even listen what I was gonna say instead she said just to save your time u have pay extra this and that like she didnâ€™t even try to listen what I was trying to say . Very disappointing she had no manner how to behave and talk to passengers and she is a supervisor like what ... the cabin crew were well behaved but you can hardly find cabin crew during quiet time as they are always in their station but they were well behaved. Just didnâ€™t like the gate staffs specially the lady supervisor of that wasnâ€™t uk I would have slapped her for that behaviour like we pay for service and want to get that service we do not travel for free or with their fathers money . Also the food during the flight came very late for awhile I wanted to jump out of the plane because I was starving ... they need to give food on time . More Improvement needed and staffs need more training and definitely should not hire staffs who doesnâ€™t know how to behave with passengers . I felt it because I am a tourism and hospitality employee at a fairmont hotel in London and I have trained air hostesses at from Saudi airlines do I know how passengers should be treated . Pleas give more training to customer service staffs at the airport thanks . For me ... never travelling from bd biman worst behaved at the luggage desk ... staffs are always gossiping ... poor service at the luggage desk... also the cabin crews are not very attentive they forgot to give me my food and they did not re check if all passengers got food I had to call someone to give me food ...,Negative
Do not fly with this stupid airlines itâ€™s too dirty inside and the sit service I will never fly agen,Negative
From the minute I stepped into the airport the staff assisted with my baggage and security scanning until I was handed my boarding pass to board the plane. Highly recommended.,Positive
"The worst airlines, run by irresponsible, and stupid people. They have no sense of time and service. If you ask any assistance, whether they don't know they answer, they will give you even terrible suggestions which will make your life real hell and finally you will realize their suggestion was unnecessary. I had no other option that's why I needed to fly with them and I wish I never again fall in such situation. Their behave is such rude and inappropriate to let you think they are actually inhuman and monsters.",Negative
"Flights that I find comfortable, strange, panic, and angry. The circumstances are mixed together. The plane is ready for boarding but there are still many passengers making phone or video calls, even though flight attendants have banned cellphones. And this might disrupt the aircraft's navigation system.",Mixed
Had travelled from Dhaka to Chittagong in US Bangla airlines. Initially I had some fear as only recently they had a crash in Nepal. What I observed is that their check in and boarding process was very fast and on time. Aircraft was clean and efficient staff.,Positive
